"id","country_id","name","name_en","acase_code","del","ResortFeeRu","ResortFeeEn"
"291","37","Восточная Фландрия","East-Flanders","0","0",NULL,NULL
"294","37","Фламандский Брабант","Flemish Brabant","0","0",NULL,NULL
"297","37","Эно","Hainaut Province","0","0",NULL,NULL
"300","37","Льеж","Liege Province","0","0",NULL,NULL
"303","37","Фламандский Лимбург","Limburg","0","0",NULL,NULL
"306","37","Люксембург","Belgium Luxembourg","0","0",NULL,NULL
"309","37","Намюр","Namur Province","0","0",NULL,NULL
"312","37","Валлонский Брабант","Walloon Brabant","0","0",NULL,NULL
"315","37","Западная Фландрия","West-Flanders","0","0",NULL,NULL
"318","37","Бельгийские Арденны","Ardennes Belge","0","0",NULL,NULL
"321","37",,"Belgium Coast","0","0",NULL,NULL
"324","89","Алагоас","Alagoas","0","0",NULL,NULL
"327","89","Амазонас","Amazonas","0","0",NULL,NULL
"330","89","Баия","Bahia","0","0",NULL,NULL
"333","89","Сеара","Ceará","0","0",NULL,NULL
"336","89","Федеральный округ","Distrito Federal","0","0",NULL,NULL
"339","89","Мату-Гросу-ду-Сул","Mato Grosso do Sul","0","0",NULL,NULL
"342","89","Минас-Жерайс","Minas Gerais","0","0",NULL,NULL
"345","89","Пернамбуку","Pernambuco","0","0",NULL,NULL
"348","89","Рио-де-Жанейро","Rio de Janeiro State","0","0",NULL,NULL
"351","89","Рио-Гранде-ду-Норти","Rio Grande do Norte","0","0",NULL,NULL
"354","89","Рио-Гранде-ду-Сул","Rio Grande do Sul","0","0",NULL,NULL
"357","89","Санта-Катарина","Santa Catarina","0","0",NULL,NULL
"360","89","Сан-Паулу","Sao Paulo State","0","0",NULL,NULL
"363","89","Сержипи","Sergipe","0","0",NULL,NULL
"366","43","Британская Колумбия","British Columbia","0","0",NULL,NULL
"369","43","Онтарио","Ontario","0","0",NULL,NULL
"372","43","Квебек","Quebec","0","0",NULL,NULL
"375","43","Новая Шотландия","Nova Scotia","0","0",NULL,NULL
"378","10","Бернское высокогорье","Bernese Oberland","0","0",NULL,NULL
"381","10","Центральная Швейцария","Central Switzerland","0","0",NULL,NULL
"384","146","Восточная Швейцария","East Switzerland","0","0",NULL,NULL
"387","10","Фрибург","Canton of Fribourg","0","0",NULL,NULL
"390","10","Женевское озеро - Вауд","Lake Geneva / Vaud","0","0",NULL,NULL
"393","10","Тичино","Canton of Ticino","0","0",NULL,NULL
"396","10","Цюрих","Canton of Zurich","0","0",NULL,NULL
"399","243","Сантьяго","Metropolitan Region","0","0",NULL,NULL
"402","243",,"Easter Island","0","0",NULL,NULL
"405","14",,"Chongqing Area","0","0",NULL,NULL
"408","14","Фуцзянь","Fujian","0","0",NULL,NULL
"411","14","Гуандун","Guangdong","0","0",NULL,NULL
"414","14","Гуанси","Guangxi","0","0",NULL,NULL
"417","14","Хэнань","Henan","0","0",NULL,NULL
"420","14","Хубэй","Hubei","0","0",NULL,NULL
"423","14","Тяньцзинь","Tianjin Area","0","0",NULL,NULL
"426","14","Шэньси","Shaanxi","0","0",NULL,NULL
"429","138","Пунтаренас","Puntarenas","0","0",NULL,NULL
"432","31","Прага","Prague Region","0","0",NULL,NULL
"435","31","Краловеградецкий край","Hradec Kralove","0","0",NULL,NULL
"438","31","Карловы Вары","Karlovy Vary Region","0","0",NULL,NULL
"441","31","Центральной Богемии","Central Bohemia","0","0",NULL,NULL
"444","13","Мекленбург-Померания","Mecklenburg-Pomerania","0","0",NULL,NULL
"447","13","Мозель - Германия","German Mosel","0","0",NULL,NULL
"450","13","Рейнланд-Пфальц","Rhineland-Palatinate","0","0",NULL,NULL
"453","13","Саар","Saarland","0","0",NULL,NULL
"456","13","Саксония-Ангальт","Saxony-Anhalt","0","0",NULL,NULL
"459","13","Шлезвиг-Гольштейн","Schleswig-Holstein","0","0",NULL,NULL
"462","13","Тюрингия","Thuringia","0","0",NULL,NULL
"465","38",,"Funen","0","0",NULL,NULL
"468","38","Северная Ютландия","Nordjylland","0","0",NULL,NULL
"471","38",,"Vestjylland","0","0",NULL,NULL
"474","245","Галапагосские острова","Galapagos","0","0",NULL,NULL
"477","245","Сьерра","Sierra","0","0",NULL,NULL
